,device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
1,Acer Liquid ,5.5,,6.1,3,0.3,165,"Android OS, v5.1 (Lollipop)",1,8,1,8,32,3,MicroSD,4000,,Cortex-A53,8,Mediatek MT6753,1.3,Mali-T720MP3,7290
2,Acer Liquid Z530 ,5,,5.6,2.7,0.3,145,"Android OS, v5.1 (Lollipop)",1,8,1,8,16,2,MicroSD,2420,,Cortex-A53,4,,1.3,Mali-T720MP2,6999
3,Acer Z630S ,5.5,,6.1,3,0.3,165,"Android OS, v5.1 (Lollipop)",1,8,1,8,32,3,128,4000,,Cortex-A53,8,Mediatek MT6753,1.3,Mali-T720MP3,7190
4,Apple iPhone 4 16GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,137,iOS 4,1,5,2,0+3,16,0.5,0,1420,A4,Cortex-A8,1,Apple A4,1,PowerVR SGX535,26999
5,Apple iPhone 4 32GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,137,iOS 4,1,5,2,0+3,32,0.5,0,1420,,Cortex-A8,,,1,PowerVR SGX535,41900
6,Apple iPhone 4S 16GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,140,iOS 5,1,8,0,,16,0.5,0,1432,A5,Cortex-A9,2,Apple,1,PowerVR SGX543MP2,19799
7,Apple iPhone 4S 8GB ,3.5,,4.5,2.3,0.3,140,iOS 5,1,8,0,,8,0.5,0,1430,,Cortex-A9,2,Apple A5,1,PowerVR SGX543MP2,9900
8,Apple iPhone 5 ,4,Corning Gorilla Glass,4.8,2.3,0.3,112,iOS 6,1,8,2,1+2,16,1,0,1440,A6,Swift,2,Apple,1.3,PowerVR SGX 543MP3,14500
9,Apple iPhone 5 32GB ,4,,4.8,2.3,0.3,112,iOS 6,1,8,2,1+2,32,1,0,1440,,Apple A6,2,,1.3,PowerVR SGX 543MP3,39999
10,Apple iPhone 5 64GB ,4,,4.8,2.3,0.3,112,iOS 6,1,8,2,1+2,64,1,0,1440,,,2,,1.3,PowerVR SGX 543MP3,59500
11,Apple iPhone 5C ,4,,4.9,2.3,0.3,132,iOS 7,1,8,2,1+2,16,1,0,1510,,,2,,1.3,PowerVR SGX 543MP3,13999
12,Apple iPhone 5C (8 GB) ,4,,4.9,2.3,0.3,132,iOS 7,1,8,2,1+2,8,1,0,1510,A6,Swift,2,Apple,1.3,PowerVR SGX 543MP3,18490
13,Apple iPhone 5C 32GB ,4,,4.9,2.3,0.3,132,iOS 7,1,8,2,1+2,32,1,0,1510,A6,Swift,2,Apple,1.3,PowerVR SGX 543MP,46799
14,Apple iPhone 5S ,4,Corning Gorilla Glass,4.8,2.3,0.3,112,iOS 7,1,8,2,1+2,16,1,0,1560,A7,Cyclone,2,Apple,1.3,PowerVR G6430,16999
15,Apple iPhone 5S 32GB ,4,Corning Gorilla Glass,4.8,2.3,0.3,112,iOS 7,1,8,2,1+2,32,1,0,1560,A7,Cyclone,2,Apple A7,1.3,PowerVR G6430,16899
16,Apple iPhone 5S 64GB ,4,Corning Gorilla Glass,4.8,2.3,0.3,112,iOS 7,1,8,2,1+2,64,1,0,1560,A7,Cyclone,2,Apple A7,1.3,PowerVR G6430,15999
17,Apple iPhone 6 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129,iOS 8,1,8,2,1+2,16,1,0,1810,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,36499
18,Apple iPhone 6 128GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129,iOS 8,1,8,2,1+2,128,1,0,1810,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,32999
19,Apple iPhone 6 32GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129,iOS 8,1,8,2,1+2,32,1,0,1810,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,23258
20,Apple iPhone 6 64GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129,iOS 8,1,8,2,1+2,64,1,0,1810,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,52999
21,Apple iPhone 6 Plus ,5.5,Ion-strengthened glass,6.2,3,0.2,172,iOS 8,1,8,2,1+2,16,1,0,2915,A8,Typhoon ,2,Apple A8,1.4,PowerVR GX6450,57000
22,Apple iPhone 6 Plus 128GB ,5.5,Ion-Strengthened Glass,6.2,3,0.2,172,iOS 8,1,8,2,1+2,128,1,0,2915,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,50286
23,Apple iPhone 6 Plus 32GB ,5.5,Ion-strengthened glass,6.2,3,0.2,172,iOS 8,1,8,2,1+2,32,1,0,2915,A8,Typhoon,2,Apple,1.4,PowerVR GX6450,36999
24,Apple iPhone 6 Plus 64GB ,5.5,Ion-strengthened glass,6.2,3,0.2,172,iOS 8,1,8,2,1+2,64,1,0,2915,A8,Typhoon,2,Apple A8,1.4,PowerVR GX6450,46000
25,Apple iPhone 6S ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,16,2,0,1715,A9,Twister,2,Apple,1.84,PowerVR GT7600,41990
26,Apple iPhone 6S 32GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,32,2,0,1715,A9,Twister,2,Apple,1.8,PowerVR GT7600,34999
27,Apple iPhone 6S Plus 128GB ,5.5,Ion Strengthened Glass,6.2,3,0.2,192,iOS 9,1,12,1,5,128,2,0,2750,A9,Twister,2,Apple,1.84,Power VR GT7600,49500
28,Apple iPhone 6S Plus 32GB ,5.5,Ion-strengthened glass,6.2,3,0.2,192,iOS 9,1,12,1,5,32,2,0,2750,A9,Twister,2,Apple,1.84,PowerVR GT7600,36999
29,Apple iPhone 6s 128GB ,4.7,Ion-strengthened glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,128,2,0,1715,A9,Twister,2,Apple,1.84,PowerVR GT7600,66990
30,Apple iPhone 6s 64GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,64,2,0,1715,A9,Twister,2,Apple,1.84,PowerVR GT7600,39999
31,Apple iPhone 6s Plus ,5.5,Ion-Strengthened Glass,6.2,3,0.2,192,iOS 9,1,12,1,5,16,2,0,2750,A9,Twister,2,Apple,1.84,Power VR GT7600,34999
32,Apple iPhone 6s Plus 64GB ,5.5,Ion-strengthened glass,6.2,3,0.2,192,iOS 9,1,12,1,5,64,2,0,2750,A9,Twister,2,Apple A9,1.84,PowerVR GT7600,53499
33,Apple iPhone 7 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,32,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,46999
34,Apple iPhone 7 128GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,128,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,54999
35,Apple iPhone 7 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,256,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,57868
36,Apple iPhone 7 Plus ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,32,3,0,2900,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,60990
37,Apple iPhone 7 Plus 128GB ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,128,3,0,2900,A10 Fusion,,4,Apple,2.23,PowerVR 7XT Plus,66180
38,Apple iPhone 7 Plus 256GB ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,256,3,0,2900,A10 Fusion,,4,Apple A10 Fusion,2.23,PowerVR Series7XT Plus,73990
39,Apple iPhone 8 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148,iOS 11,1,12,1,7,64,2,0,1821,A11 Bionic,,6,Apple,,,61200
40,Apple iPhone 8 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148,iOS 11,1,12,1,7,256,2,0,1821,A11 Bionic,,6,Apple,,,70499
