device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Apple iPhone 6 32GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129.0,iOS 8,1,8,2,1+2,32.0,1.0,0,1810,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"23,258"
Apple iPhone 5S 64GB ,4.0,Corning Gorilla Glass,4.8,2.3,0.3,112.0,iOS 7,1,8,2,1+2,64.0,1.0,0,1560,A7,Cyclone,2.0,Apple A7,1.3,PowerVR G6430,"15,999"
Apple iPhone 6s Plus ,5.5,Ion-Strengthened Glass,6.2,3.0,0.2,192.0,iOS 9,1,12,1,5,16.0,2.0,0,2750,A9,Twister,2.0,Apple,1.84,Power VR GT7600,"34,999"
Apple iPhone 6S ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143.0,iOS 9,1,12,1,5,16.0,2.0,0,1715,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"41,990"
Apple iPhone SE 2 ,4.2,,,,,,iOS 11,1,12,1,7,32.0,2.0,0,1624mAh,A10 Fusion,,4.0,Apple,2.3,,39999
Apple iPhone 9 ,5.2,,,,,,iOS 11,1,12,1,7,64.0,2.0,0,2050,A11,,8.0,Apple,,,"74,990"
Apple iPhone 6S Plus 32GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,192.0,iOS 9,1,12,1,5,32.0,2.0,0,2750,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"36,999"
Apple iPhone 7 128GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138.0,iOS 10,1,12,1,7,128.0,2.0,0,1960,A10 Fusion,,4.0,Apple,2.3,PowerVR 7XT Plus,"54,999"
Apple iPhone 8 Plus ,5.5,Ion-strengthened glass,6.2,3.0,0.3,202.0,iOS 11,1,12,1,7,64.0,3.0,0,2675,A11 Bionic,,6.0,Apple,,,"71,899"
Apple iPhone SE ,4.0,,4.8,2.3,0.3,113.0,iOS 9.3.2,1,12,2,1+2,16.0,2.0,0,1624,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"17,990"
Apple iPhone 7 Plus 128GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,188.0,iOS 10,1,12,1,7,128.0,3.0,0,2900,A10 Fusion,,4.0,Apple,2.23,PowerVR 7XT Plus,"66,180"
Apple iPhone 8 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148.0,iOS 11,1,12,1,7,256.0,2.0,0,1821,A11 Bionic,,6.0,Apple,,,"70,499"
Apple iPhone 6s 64GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143.0,iOS 9,1,12,1,5,64.0,2.0,0,1715,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"39,999"
Apple iPhone SE 128GB ,4.0,,4.8,2.3,0.3,113.0,iOS 9,1,12,2,1+2,128.0,2.0,0,1624,A9,Twister,2.0,Apple,1.8,PowerVR GT7600,"39,667"
