device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Asus Zenfone Max Pro (M1) ,5.99,,6.2,2.9,0.3,180.0,"Android OS, v8.1 (Oreo)",2,13+5,1,8,32.0,3.0,256,5000,Snapdragon 636,Cortex A53,8.0,Qualcomm,1.8,Adreno 509,"10,999"
Asus Zenfone 2 ZE551ML (4GB RAM 64GB ROM 2.3 GHz) ,5.5,,6.0,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,64.0,4.0,128,3000,Intel Atom Z3580,,4.0,,2.3,PowerVR G6430,"21,999"
Asus Zenfone Zoom ,5.5,,6.2,3.1,0.4,185.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,128.0,4.0,128,3000,,,4.0,,2.3,PowerVR G6430,"14,999"
Asus Zenfone Go 4.5 LTE (2016) ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8.0,1.0,128,2070,Snapdragon 410,Cortex-A7,4.0,Qualcomm,1.0,Adreno 306,"4,849"
Asus Zenfone 2 ZE551ML (2GB RAM 16GB ROM 1.8 GHz) ,5.5,,6.0,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,128,3000,,,4.0,,1.8,PowerVR G6430,"6,999"
Asus Zenfone 6 ,6.0,,6.5,3.3,0.3,196.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,2,16.0,2.0,64,3300,,,2.0,Intel Atom Z2580,1.6,PowerVR SGX544MP2,"8,990"
Asus Zenfone Live ,5.0,,5.5,2.8,0.3,120.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,256,2650,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"7,950"
Asus Zenfone Max 3GB RAM ,5.5,Corning Gorilla Glass 4,6.1,3.0,0.4,202.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,32.0,3.0,64,5000,Snapdragon 615,Cortex-A53,4.0,Qualcomm MSM8939,1.5+1.0,Adreno 405,"11,999"
Asus Zenfone Selfie ZD551KL ,5.5,,6.1,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,13,32.0,3.0,256,3000,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7,Adreno 405,"16,100"
Asus Zenfone GO 5.0 4G ,5.0,,,,,135.0,"Android OS, v4.4 (KitKat)",1,8,1,5,16.0,2.0,32,2500,,,4.0,Qualcomm MSM8916,1.2,,"5,999"
Asus Zenfone 3 ZE552KL ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,155.0,"Android OS, v6.0 (Marshmallow)",1,16,1,8,64.0,4.0,256,3000,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"15,999"
Asus Zenfone 3 Max 3GB RAM ,5.5,,5.9,3.0,0.3,175.0,"Android OS, v6.0.1 (Marshmallow)",1,16,1,8,32.0,3.0,128,4100,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"12,999"
