device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Gionee P7 Max ,5.5,,6.0,3.0,0.3,183.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,MicroSD,3100,MT6595,,8.0,Mediatek ,2.2,PowerVR G6200,"6,890"
Gionee S Plus ,5.5,Corning Gorilla Glass 3,6.1,3.0,0.3,158.0,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,16.0,3.0,128,3150,MT6753,Cortex-A53,8.0,Mediatek,1.3,Mali-T720MP3,"9,490"
Gionee F103 ,5.0,,5.6,2.7,0.3,136.6,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,32,2400,,Cortex-A53,4.0,,1.3,Mali-T720MP2,"6,990"
Gionee Elife E8 ,6.0,,6.4,3.2,0.3,210.0,"Android OS, v5.1 (Lollipop)",1,24,1,8,64.0,3.0,256,3500,Helio X10,Cortex-A53,8.0,Mediatek MT6795,2.0,PowerVR G6200,"14,820"
Gionee P7 ,5.0,Yes,,,,167.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16.0,2.0,256,2300,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"6,499"
Gionee M5 Plus ,6.0,,6.3,3.2,0.3,208.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,64.0,3.0,256,5020,,Cortex-A53,8.0,,,Mali-T720MP3,"15,999"
Gionee P5 Mini ,4.5, Asahi Glass,5.2,2.6,0.3,153.0,"Android OS, v5.0 (Lollipop)",1,5,1,2,8.0,1.0,32,1850,MediaTek MT6580M,Cortex-A7,4.0,MediaTek ,1.3,Mali-400MP2,"3,670"
Gionee Elife S7 ,5.2,,5.8,2.8,0.2,125.3,"Android OS, v5.0 (Lollipop)",1,13,1,8,16.0,2.0,0,2700,,Cortex-A53,8.0,,1.7,Mali-T760MP2,"32,050"
Gionee Steel 3 ,5.5,,,,,,"Android OS, v7.1.1 (Nougat)",1,8,1,8,32.0,3.0,256,4000,MT6737,Cortex-A53,8.0,MediaTek,1.4,,14999
Gionee F205 ,5.45,,5.8,2.7,0.3,135.0,"Android OS, v7.1 (Nougat)",1,8,1,5,16.0,2.0,128,2670,MT6739,Cortex A53,4.0,MediaTek,1.3,PowerVR GE8100,"7,990"
Gionee S9 ,5.5,,6.0,3.0,0.2,168.0,"Android OS, v6.0.1 (Marshmallow)",2,13+5,1,13,64.0,4.0,256,3000,Helio P10,Cortex-A53,8.0,Mediatek MT6755,2.0+1.0,Mali-T860MP2,13999
Gionee M5 Lite ,5.0,,5.6,2.7,0.3,183.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,32.0,3.0,128,4000,,Cortex-A53,4.0,,1.3,Mali-T720MP2,"7,990"
