device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
HTC Desire 10 Pro 64GB ,5.5,Corning Gorilla Glass,6.1,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,20,1,13,64.0,4.0,256,3000,Helio P10,Cortex-A53,8.0,Mediatek MT6755,1.8+1.0,Mali-T860MP2,"15,190"
HTC Desire 820 ,5.5,,6.2,3.1,0.3,155.0,"Android OS, v4.4.2 (KitKat)",1,13,1,8,16.0,2.0,128,2600,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.0,Adreno 405,"11,299"
HTC Desire 728G dual SIM ,5.5,,6.2,3.0,0.3,153.0,,1,13,1,5,16.0,1.5,256,2800,,Cortex-A53,8.0,,1.3,Mali-T720MP3,"9,000"
HTC One A9 32GB ,5.0,,,,,143.0,"Android OS, v6.0 (Marshmallow)",1,13,1,4,32.0,3.0,2,2150,Snapdragon 617,Cortex-A53,8.0,Qualcomm MSM8952,1.5+1.2,Adreno 405,"16,499"
HTC One M9 ,5.0,,5.6,2.7,0.3,157.0,"Android OS, v5.0 (Lollipop)",1,20,1,4,32.0,3.0,200,2840,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994 ,1.5+2.0,Adreno 430,"40,990"
HTC Desire 828 Dual SIM ,5.5,,6.2,3.1,0.3,148.0,"Android OS, v5.1 (Lollipop)",1,13,1,4,16.0,2.0,256,2800,MT6753,Cortex-A53,8.0,Mediatek,1.5,Mali-T720MP3,"8,500"
HTC Desire EYE ,5.2,,5.9,2.9,0.3,154.0,"Android OS, v4.4.4 (KitKat",1,13,1,13,16.0,2.0,128,2400,Snapdragon 801,Krait 400,4.0,Qualcomm ,2.3,Adreno 330,"18,000"
HTC Desire 626G+ ,5.0,,5.7,2.7,0.3,138.0,"Android OS, v4.4.2 (KitKat)",1,13,1,5,8.0,1.0,32,2000,MT6592,Cortex-A7,8.0,Mediatek,1.7,Mali-450MP4,"8,999"
HTC One M8 Eye ,5.0,,5.7,2.7,0.3,160.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,128,2600,Snapdragon 801,Krait 400,4.0,Qualcomm,2.3,Adreno 330,"14,290"
HTC Desire 628 ,5.0,,5.7,2.7,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,3.0,256,2200,MediaTek MT6753,Cortex A53,8.0,MediaTek ,1.3,Mali-T720 MP3,"9,999"
HTC 10 ,5.2,,5.7,2.8,0.3,161.0,"Android OS, v6.0.1 (Marshmallow)",1,12,1,5,32.0,4.0,200,3000,Snapdragon 820,,4.0,Qualcomm MSM8996,2.1+1.6,Adreno 530,"27,999"
HTC Desire 526G Plus ,4.7,,5.5,2.7,0.3,154.0,"Android OS, v4.4.2 (KitKat)",1,8,1,2,16.0,1.0,32,2000,,,8.0,,1.7,ARM Mali-450,"8,380"
HTC Desire 728 32GB ,5.5,,6.2,3.0,0.3,153.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,3.0,256,2800,MT6753,Cortex-A53,8.0,Mediatek,1.3,Mali-T720MP3,"9,990"
HTC Desire 816 ,5.5,,6.1,3.1,0.3,165.0,"Android OS, v4.4.2 (KitKat)",1,13,1,5,8.0,1.5,128,2600,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8928,1.6,Adreno 305,"8,999"
