device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Huawei Honor 9 Lite ,5.65,,5.9,2.8,0.3,149.0,"Android OS, 8.0 (Oreo)",2,13+2,2,13+2,32.0,3.0,256,3000,Kirin 659,Cortex-A53,8.0,HiSilicon,2.3+1.7,Mali-T830 MP2,"10,999"
Huawei Honor 9N 64GB ,5.84,,5.8,2.7,0.3,152.0,"Android OS, v8.0 (Oreo)",2,13+2,1,16,64.0,4.0,256,3000,Kirin 659,Cortex A53,8.0,HiSilicon,2.3+1.7,Mali-T830 MP2,"13,999"
Huawei Nova 3 ,5.9,Corning Gorilla Glass,,,,,"Android OS, v8.0 (Oreo)",2,20+16,2,20+2,64.0,6.0,256,3340,Kirin 659,Cortex A53,8.0,Hi-Silicon,2.3,,34999
Huawei Honor 8 Lite ,5.2,,5.7,2.8,0.3,147.0,"Android OS, v7.0 (Nougat)",1,12,1,8,64.0,4.0,128,3000,Kirin 655,Cortex-A53,8.0,HiSilicon,1.8,Mali-T830 MP2,"12,337"
Huawei Honor Holly 4 ,5.0,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,5,32.0,3.0,128,3020,Snapdragon 430,Cortex A53,8.0,Qualcomm,1.2,,"7,999"
Huawei Honor View 10 ,5.99,,6.1,2.9,0.2,172.0,"Android OS, v8.0 (Oreo)",2,20+16,1,13,128.0,6.0,256,3750,Kirin 970,Cortex-A73,8.0,Hisilicon,2.4+1.8,Mali-G72 MP12,"29,999"
Huawei Nova 3i ,6.3,Corning Gorilla Glass,,,,,"Android OS, v8.1 (Oreo)",2,16+2,2,24+2,64.0,4.0,128,3340,Kirin 659,Cortex A53,8.0,HiSilicon,2.3+1.7,,20990
Huawei Honor 9N 128GB ,5.84,,5.8,2.7,0.3,152.0,"Android OS, v8.0 (Oreo)",2,13+2,1,16,128.0,4.0,256,3000,Kirin 659,Cortex A53,8.0,HiSilicon,2.3+1.7,Mali-T830 MP2,"17,999"
Huawei P20 Pro ,6.1,,6.1,2.9,0.3,180.0,"Android OS, v8.1 (Oreo)",3,40+20+8,1,24,128.0,6.0,256,4000,Kirin 970,Cortex-A73,8.0,Hisilicon,2.3+1.8,Mali-G72 MP12,"64,999"
Huawei Honor 9i ,5.9,Corning Gorilla Glass 3,6.1,2.9,0.2,164.0,"Android OS, v7.0 (Nougat)",2,16+2,2,13+2,64.0,4.0,128,3340,Kirin 659,Cortex A53,8.0,Hisilicon,2.3+1.7,,"15,899"
Huawei Honor 10 ,5.84,,,,,,"Android OS, v8.1 (Oreo)",2,16+24,1,24,128.0,6.0,256,3400,Kirin 970,Cortex-A73,8.0,HiSilicon,2.4,Mali-G72 MP12,"32,999"
