device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
IBall Andi i9 ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,8.0,1.0,32,2000,,Cortex-A7,4.0,,1.2,,"2,949"
IBall Triplite 2.4T ,2.4,,,,,,,1,1.3,0,,0.03125,0.03125,16,1800,,,,,,,"1,448"
IBall Curvy ,2.4,,,,,,,1,1.3,0,,,,16,1800,,,,,,,"1,425"
IBall Swing 2.4L ,2.4,,,,,,,1,1.3,0,,0.03125,,32,1800,,,,,,,"1,335"
IBall Shaan 2.4 Neon ,2.4,,,,,,,1,1.3,0,,,,16,1000,,,,,,,"1,325"
IBall Leader 2.8H ,2.8,,,,,,,1,1.3,0,,,,16,1200,,,,,,,"1,214"
IBall Majestic 2.4D ,2.4,,,,,,,1,0.3,0,,,,16,1000,,,,,,,"1,199"
IBall 1.8 Bravo 3V ,1.8,,,,,,,1,1.3,0,,0.03125,0.03125,16,800,,,,,,,"1,108"
IBall 2.4K Jewel ,2.4,,,,,,,1,1.3,0,,,,16,1000,,,,,,,"1,090"
IBall Supremo Big 2.4D ,2.4,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,066"
IBall King 2 ,1.8,,,,,87.0,,1,0.3,0,,,,16,1800,,,,,,,899
IBall Crown 2 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,799
IBall Andi Cobalt Solus2 ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,16,1,8,32.0,2.0,32,2250,,Cortex A7,8.0,,1.7,,"9,599"
IBall Andi 5K Infinito 2 ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,13,1,2,16.0,2.0,32,4000,,Cortex A7,8.0,,1.7,,"7,599"
IBall Andi HD6 ,6.0,,,,,,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,3000,,Cortex A7,4.0,MediaTek MT6582,1.3,Mali-400 MP2,"6,099"
IBall Andi 5M Xotic ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,8,2,3+2,16.0,2.0,32,2000,,Cortex A7,4.0,,1.3,,"5,848"
IBall Andi 4.5C Magnifico (1GB RAM) ,4.5,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,8.0,1.0,32,1700,,Cortex A7,2.0,,1.3,,"3,984"
IBall Andi Dude ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,5,2,0+3,4.0,0.5,32,2000,,Cortex A7,4.0,,1.2,Mali - 400 MP,"3,990"
IBall Andi4GB ARC2 ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,5,2,0+3,4.0,0.5,32,1500,,,2.0,,1.0,,"2,491"
IBall Aasaan 3 ,2.3,,,,,,,1,0.3,0,,,,16,1450,,,,,,,"2,799"
IBall Andi 4F ARC3 ,4.0,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,0+3,8.0,0.5,32,1500,,,2.0,,1.2,,"3,950"
IBall Andi 4P Class X ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,8.0,1.0,32,1400,,Cortex A7,2.0,,1.3,,"3,499"
IBall Cobalt 6 ,6.0,,,,,,"Android OS, v4.4 (Kitkat)",1,8,1,16,16.0,2.0,32,3000,,Cortex A7,8.0,,1.7,,"12,162"
IBall Andi 5 Stallion 8GB ,5.0,,,,,168.0,"Android OS, v4.4 (Kitkat)",1,8,2,0+3,8.0,1.0,32,1700,,Cortex A7,4.0,,1.3,,"8,499"
IBall Andi Sprinter 4G ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,2,3+2,8.0,1.0,32,2100,,Cortex A53,4.0,MediaTek MT6735M,1.0,Mali-T720 MP2,"6,799"
IBall 5K Infinito ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,8,2,3+2,8.0,1.0,32,4000,,Cortex A7,8.0,,1.7,,"6,240"
IBall Enigma Andi 4.5M ,4.5,,,,,135.0,"Android OS, v4.4 (KitKat)",1,13,1,8,8.0,1.0,32,1500,,,4.0,,1.3,,"5,848"
IBall Andi 5k Panther ,5.0,,,,,155.0,"Android OS, v4.4 (KitKat)",1,8,1,2,8.0,1.0,32,1900,,Cortex A7,8.0,,1.4,,"5,832"
IBall Cobalt Oomph 4.7D ,4.7,,,,,,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,1850,,Cortex A7,4.0,,1.3,,"5,669"
IBall mSLR Cobalt4 ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,8,2,3+2,8.0,1.0,32,2000,,,8.0,,1.4,,"4,999"
IBall Andi 4.5 O Buddy ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,8,2,3+2,8.0,1.0,32,1800,,,4.0,,1.3,,"4,995"
IBall Andi 5U Platino ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,8,2,0+3,8.0,0.5,32,2000,,Cortex A7,4.0,,1.2,,"4,950"
IBall Andi 4.5C Magnifico ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,1,2,8.0,0.5,32,1700,,Cortex A7,4.0,,1.3,,"4,250"
IBall Andi Genius 2 ,3.5,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1250,,Cortex A7,1.0,,1.0,,"2,890"
IBall Andi 3.5Kke Winner Plus ,3.5,,,,,,"Android OS, v4.4 (Kitkat)",1,3.2,2,0+3,2.0,0.25,32,1250,,,2.0,,,,"2,499"
IBall Wow 2.4E ,2.4,,,,,,,1,1.3,0,,,,32,1000,,,,,,,"1,950"
IBall Avonte 2 ,2.8,,,,,,,1,1.3,0,,,,16,1500,,,,,,,"1,540"
IBall Tarang 2.8 J ,2.8,,,,,,,1,0.3,0,,,,16,2400,,,,,,,"1,530"
IBall Gripper 2 ,2.4,,,,,,,1,1.3,0,,,,16,1800,,,,,,,"1,499"
IBall Power X ,2.4,,,,,,,1,1.3,0,,,,16,4000,,,,,,,"1,499"
IBall Solitaire 2.4L ,2.4,,,,,,,1,1.3,0,,,,16,1200,,,,,,,"1,499"
IBall Andi 3.5V Grabit2 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,16,1200,,Cortex A7,1.0,,1.0,,"2,170"
IBall 2.4M Gripper ,2.4,,,,,,,1,1.3,0,,,,16,1000,,,,,,,"1,349"
IBall PR2 ,1.77,,,,,,,1,0.3,0,,,,32,800,,,,,,,799
IBall Prince 2 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,699
IBall F2F 5H ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,5,8.0,1.0,32,2000,,Cortex A7,4.0,,1.0,Mali 400,"3,999"
IBall Avonte 2.4G ,2.4,,,,,,,1,2,0,,,,16,1200,,,,,,,"1,187"
IBall Supremo B3 ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,959
IBall Andi Avonte 5 ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,8,0,,8.0,1.0,32,2150,,,4.0,,1.3,,"6,199"
IBall Slide Cuddle A4 ,6.9,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,16.0,2.0,32,2800,,Cortex A7,8.0,,1.7,,"6,597"
IBall Andi 5.5H Weber ,5.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,2200, Snapdragon 620,Cortex A7,4.0,MediaTek MT6580,1.3,Mali-400 MP,"6,422"
IBall Andi4 B20 ,4.0,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1250,,,1.0,,1.0,,"2,449"
IBall CR2 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,779
IBall Cobalt Youva ,5.5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,2600,,Cortex A53,4.0,,1.0,Mali – T720,"9,500"
