device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Intex Indie 15 ,5.2,,,,,,"Android OS, v7.0 Nougat",1,13,1,5,16.0,2.0,128,2800,MTK6737,Cortex A53,4.0,MediaTek,1.3,,"4,999"
Intex Aqua Crystal Plus ,5.0,,5.5,2.8,0.3,139.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,2.0,128,2100,MT6737,Cortex A53,4.0,MediaTek,1.2,Mali-T720 MP2,"5,319"
Intex Aqua Lions T1 Plus ,5.0,,,,,149.0,"Android OS, v7.0 (Nougat)",1,8,1,8,16.0,2.0,128,2400,SC9850,Cortex A7,4.0,Spreadtrum,1.3,Mali-T820 MP1,"4,899"
Intex Aqua Power IV ,5.0,,5.7,2.8,0.3,158.0,"Android OS, v7.0 (Nougat)",1,5,1,5,16.0,1.0,128,4000,MTK6737,Cortex,4.0,MediaTek,1.3,Mail-T720 MP1,"4,495"
Intex Cloud C1 ,4.0,,4.9,2.5,0.3,110.0,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,128,1750,SC9832,Cortex A53,4.0,Spreadtrum,1.3,,"3,100"
Intex Aqua Pro 4G ,4.5,,,,,140.0,"Android OS, v6.0 (Marshmallow) ",1,5,1,2,8.0,1.0,32,2000,,,4.0,,1.3,Mali 400,"3,995"
Intex Aqua 4G Mini ,4.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,4.0,0.5,32,1450,,,4.0,MediaTek SC9832A,1.3,,"2,810"
Intex Aqua S3 ,5.0,,5.7,2.8,0.3,165.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,64,2450,9832A,Cortex,4.0,Spreadtrum,1.3,Mali MP2 512,"4,990"
Intex Aqua A4 ,4.0,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,64,1750,,,4.0,,1.3,,"2,985"
Intex Ultra Selfie ,2.8,,,,,,,1,0.3,2,0+3,,,32,3000,,,,,,,"1,336"
Intex Elyt-E7 ,5.2,,5.5,2.7,0.2,156.0,"Android OS, v7.0 (Nougat)",1,13,1,5,32.0,3.0,128,4020,M6737,Cortex-A53,4.0,Mediatek,1.2,Mali-T720 MP1,"6,950"
Intex Aqua Turbo 4G ,5.0,,,,,150.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,3000,,Cortex A53,4.0,,1.0,Mali-T720 MP1,"3,699"
Intex Aqua Q8 ,4.5,,,,,139.0,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,8.0,1.0,32,1650,,Cortex A7,4.0,,1.2,Mali400MP,"2,814"
Intex Eco Beats ,1.8,,,,,69.5,,1,0.3,0,,85.5 kb,,32,800,,,,,,,749
Intex Aqua S7 ,5.0,,,,,150.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,32,3200,,,4.0,,1.3,Mali-T720 MP2,"9,905"
Intex Aqua View ,5.0,,,,,146.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,2200,,Cortex-A53,4.0,,1.0,,"7,200"
Intex Aqua Lions X1 ,5.2,,5.9,2.9,0.3,170.0,"Android OS, 7.0 (Nougat)",1,13,1,5,16.0,2.0,128,2800,MTK6737,Cortex-A53,4.0,MediaTek,1.3,ARM Mali-T720 MP1,"5,399"
Intex Aqua Speed HD ,4.7,,5.3,2.6,0.3,120.0,Android v4.4.2 (KitKat),1,8,1,5,16.0,2.0,32,1700,,,,,1.3,,"4,999"
Intex Aqua Lions 4G ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,64,2000,,Cortex-A7,4.0,,1.3,Mali400,"4,307"
Intex Aqua Amaze Plus ,4.7,,,,,128.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2000,,,4.0,,1.3,Mali 400,"3,699"
Intex Ultra G3 ,2.8,,,,,,,1,0.3,0,,15KB,,32,3000,,,,,,,"1,399"
Intex Eco Selfie ,1.8,,,,,,,1,0.3,2,0+3,,,32,1800,,,,,,,799
Intex Polo ,1.8,,,,,69.0,,1,0.3,0,,34KB,,32,800,,,,,,,699
Intex Aqua Supreme Plus ,5.0,,5.6,2.8,0.3,133.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,128,3000,MTK6737,Cortex A53,4.0,MediaTek,1.3,ARM T720,"5,050"
Intex Eco 205 ,1.8,,,,,,,1,0.3,0,,,,8,1800,,,,,,,205
Intex Eco 105 ,1.8,,,,,64.0,,1,0.3,0,,20KB,,32,800,,,,,,,105
Intex Aqua Power HD ,5.0,,,,,153.0,"Android OS, v4.4 (KitKat)",1,13,1,5,16.0,2.0,32,3900,,,8.0,,1.4,,"8,689"
