device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Karbonn A40 4G ,4.0,,,,,,"Android OS, v7.0 (Nougat)",1,5,2,0+3,8.0,1.0,,1400,,,4.0,,1.3,,"2,990"
Karbonn Titanium K9 Smart ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,3.2,2,1+3,8.0,0.5,32,2300,,Cortex A7,2.0,,1.2,Mali-400 MP,"3,499"
Karbonn Titanium 3D-Plex ,5.0,,,,,160.0,"Android OS, v6.0 (Marshmallow)",1,3.2,2,0+3,8.0,0.5,64,2300,,,4.0,,1.2,,"3,200"
Karbonn Sound Wave K451 Plus ,2.4,,4.5,2.0,0.5,,,1,1.3,0,,,0.0625,8,1800,,,,,,,"1,468"
Karbonn K9 Kavach 4G ,5.0,,5.7,2.9,0.3,161.0,"Android OS, v7.0 (Nougat)",1,5,1,5,8.0,1.0,32,2300,,,4.0,,1.2,,"4,590"
Karbonn Indian 9 ,4.0,,3.9,1.9,1.1,145.0,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,32,1300,,,4.0,Spreadtrum,1.3,,"3,009"
Karbonn K-Phone 1 ,2.4,,,,,112.0,,1,1.3,0,,,,16,1400,,,,,,,"1,128"
Karbonn K49 ,2.4,,,,,,,1,0.3,0,,,,16,1450,,,,,,,839
Karbonn A41 Power ,4.0,,,,,130.0,"Android OS, v7.0 (Nougat)",1,2,2,0+3,8.0,1.0,32,2300,,,4.0,,1.3,,"2,840"
Karbonn Aura Note 2 ,5.5,,4.5,3.0,0.3,164.0,"Android OS, v (7.0 Nougat)",1,13,1,5,16.0,2.0,128,2900,MediaTek MT6737M,Cortex-A52,4.0,MediaTek ,1.25,Mali-T720 MP2,"5,294"
Karbonn Jumbo K9 ,2.4,,4.5,1.9,0.6,112.0,,1,1.3,0,,,,16,1800,,,,,,,"1,080"
Karbonn Titanium Machfive ,5.0,,5.6,0.3,2.8,159.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,32,2200,,,4.0,,1.3,,"3,999"
Karbonn K33 Ultra ,1.8,,,,,,,1,0.3,0,,,,16,600,,,,,,,739
Karbonn Aura Note Play ,6.0,,6.3,3.3,0.3,214.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,32,3300,,,4.0,,1.3,,"5,799"
Karbonn A6 Turbo ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,1+3,4.0,0.5,32,1500,,,2.0,,1.3,,"3,749"
Karbonn Yuva 2 ,5.0,,,,,170.0,"Android OS, v7.0 (Nougat)",1,5,2,3+2,16.0,2.0,128,2250,,,4.0,,1.2,,"4,499"
Karbonn K9 Smart 1GB RAM ,5.0,,,,,146.0,"Android OS, v5.0.1 (Lollipop)",1,3.2,2,1+3,8.0,1.0,32,2300,MediaTek MT6572,Cortex A7,2.0,,1.2,Mali-400 MP,"3,239"
Karbonn K-Flip ,2.4,,,,,,,1,0.3,0,,0.0625,0.03125,8,800,,,,,,,"1,249"
Karbonn K310N ,1.8,,,,,,,1,0.3,0,,,,MicroSD,800,,,,,,,649
Karbonn K2 Boom Box ,1.8,,,,,,,1,0.3,0,,,,8,1000,,,,,,,629
Karbonn K9 Smart Yuva ,5.0,,5.7,2.8,0.4,174.0,"Android OS, v7.0, (Nougat)",1,5,1,2,8.0,1.0,32,2300,,,4.0,,1.3,,"3,769"
Karbonn K451 Power ,2.4,,,,,,,1,0.3,0,,,,16,3000,,,,,,,"1,128"
Karbonn Frames S9 ,5.2,,5.8,2.8,0.3,139.0,"Android OS, v7.0 (Nougat)",1,8,1,8,16.0,2.0,64,2900,MT6737M,Cortex A53,4.0,MediaTek,1.2,Mali-T720 MP1,"5,999"
Karbonn K9 Smart 4G ,5.0,,,,,105.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2300,,,4.0,,1.2,,"3,999"
Karbonn A40 INDIAN ,4.0,,4.8,2.5,0.3,118.0,"Android OS, v7.0 (Nougat)",1,2,2,0+3,8.0,1.0,32,1400,,,4.0,,1.3,,"2,599"
Karbonn K9 Staar ,2.4,,,,,180.0,,1,0.3,0,,,,8,1000,,,,,,,999
Karbonn Titanium Jumbo ,5.0,,,,,,"Android OS, v7.0 Nougat",1,13,1,8,16.0,2.0,64,4000,,,4.0,,1.3,,"5,350"
Karbonn A1 Plus Champ ,3.5,,,,,,Android v4.4 (KitKat),1,3,2,0+3,0.5,0.25,32,1300,,,2.0,,1.0,,"2,222"
Karbonn K7 Rock ,2.4,,,,,,,1,1.3,0,,,,32,3000,,,,,,,"2,150"
Karbonn Alfa A104 ,2.8,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.25,0.125,32,1100,,,1.0,,1.0,,"2,000"
Karbonn K90 Mashall ,2.4,,,,,110.0,,1,1.3,0,,0.03125,,16,1700,,,,,,,"1,644"
Karbonn K444 Shakti ,2.4,,,,,,,1,0.3,0,,,,32,4000,,,,,,,"1,600"
Karbonn K888 ,2.4,,,,,,,1,1.3,0,,,,16,1450,,,,,,,"1,566"
Karbonn K595 ,2.4,,,,,95.0,,1,0.3,2,0+3,0.0625,0.03125,16,1800,,,,,,,"1,400"
Karbonn K40 ,2.4,,,,,112.0,,1,1.3,0,,,,16,2800,,,,,,,"1,369"
Karbonn K41 Ultra ,2.4,,,,,,,1,0.3,0,,,,Yes,1800,,,,,,,"1,350"
Karbonn K29 Boombox ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,"1,298"
Karbonn K130 Fun ,1.8,,,,,,,1,0.3,0,,,,8,800,,,,,,,990
Karbonn K89 ,1.8,,,,,,,1,0.3,0,,,,16,1700,,,,,,,990
Karbonn K48 ,1.8,,,,,,,1,0.3,0,,,,16,1800,,,,,,,969
Karbonn K150 Ultra ,1.8,,,,,,,1,0.3,0,,,,8,800,,,,,,,966
Karbonn K107 ,1.8,,,,,,,1,0.3,0,,,,16,800,,,,,,,950
Karbonn K106S ,1.8,,,,,,,1,0.3,0,,,,8,800,,,,,,,920
Karbonn K3 Boommax ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,919
Karbonn Kphone Mashaal ,2.4,,,,,,,1,1.3,0,,,,16,1800,,,,,,,909
Karbonn K130 Plus ,1.8,,,,,92.0,,1,0.3,0,,,,8,800,,,,,,,899
Karbonn K19 Rock ,1.8,,,,,,,1,0.3,0,,,,16,1750,,,,,,,839
Karbonn K95 star ,2.4,,,,,,,1,0.3,0,,,,8,2200,,,,,,,"1,450"
Karbonn K240 ,2.4,,,,,,,1,2,0,,,,8,1600,,,,,,,"1,450"
Karbonn T9 ,2.4,,,,,,,1,1.3,0,,,,16,950,,,,,,,"1,400"
Karbonn K Phone Joy ,2.4,,,,,,,1,0.3,0,,,,16,1700,,,,,,,"1,390"
Karbonn K-Champ 6 ,2.4,,,,,,,1,1.3,0,,,,16,1750,,,,,,,"1,390"
Karbonn Alfa A92 Plus ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,3.2,2,1+3,0.5,0.25,32,1300,,,1.0,,1.0,,"2,749"
Karbonn A108 Plus ,3.5,,,,,115.0,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1100,,,1.0,,1.0,,"2,700"
Karbonn A109 3G ,4.0,,,,,108.0,"Android OS, v4.4 (KitKat)",1,2,2,0+3,4.0,0.5,32,1300,,,1.0,,1.0,,"2,699"
Karbonn A108 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1500,,,1.0,,1.0,,"2,590"
Karbonn K4000 Plus ,2.8,,,,,,,1,0.3,0,,,,16,4000,,,,,,,"2,500"
Karbonn A106 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1200,,,2.0,,1.0,,"2,472"
Karbonn Smart A202 ,3.5,,,,,,"Android OS, v4.4 (Kitkat)",1,2,2,0+3,0.5,0.25,32,1100,,,1.0,,1.0,,"2,450"
Karbonn S35 ,4.5,,,,,140.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,1850,,,4.0,,1.2,,"4,275"
Karbonn A5 Star 8GB ,4.0,,,,,130.0,"Android OS, v2.3 (Gingerbread)",1,5,2,0+3,8.0,0.5,32,1100,,,4.0,,1.2,,"4,190"
Karbonn Titanium S21 ,4.5,,,,,118.0,"Android OS, v4.4 (Kitkat)",1,3.2,2,1+3,4.0,0.5,32,1600,,,4.0,,1.2,,"4,090"
Karbonn Titanium S109 ,4.5,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,8.0,0.5,32,1600,,,4.0,,1.2,,"3,999"
Karbonn Titanium High 2 S203 ,5.0,,,,,178.0,"Android OS, v4.4 (KitKat)",1,5,2,3+2,8.0,0.5,32,3000,,,4.0,,1.2,Mali-400,"3,999"
Karbonn Titanium S310 Machone Plus ,4.7,,,,,136.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,8.0,2.0,32,1800,,,4.0,,1.3,,"6,650"
Karbonn Titanium Pop S315 ,5.0,,,,,165.0,"Android OS, v5.0 (Lollipop)",1,8,1,2,8.0,1.0,32,2000,,,4.0,,1.0,,"6,048"
Karbonn Aura ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,8.0,0.5,32,2000,,,4.0,,1.2,,"5,999"
Karbonn Titanium Octane ,5.0,,5.7,2.8,0.3,,"Android OS, v4.4 (KitKat)",1,13,1,5,16.0,1.0,32,2000,,Cortex-A7,8.0,Mediatek MT6592,1.7,Mali-450MP4,"8,499"
Karbonn S320 Titanium High Plus ,5.0,,,,,190.0,"Android OS, v4.4 (KitKat)",1,8,1,2,8.0,1.0,32,3000,,Cortex A7,4.0,,1.2,Mali-400 MP2,"5,900"
Karbonn Aura 9 ,5.0,,,,,160.0,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,4000,,Cortex A7,4.0,Spreadtrum SC7731G,1.2,Mali-400 MP2,"5,899"
Karbonn K9 Viraat ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.0,32,2800,,,4.0,,1.3,,"5,230"
Karbonn Titanium Moghul ,5.0,,,,,156.0,"Android OS, v4.4 (KitKat)",1,8,2,3+2,8.0,1.0,32,2000,,Cortex A7,4.0,MediaTek MT6592,1.2,Mali-450 MP4,"4,999"
Karbonn Titanium S200HD ,5.0,,,,,142.0,"Android OS, v4.4 (KitKat)",1,8,2,3+2,8.0,1.0,32,2600,,,4.0,,1.2,,"4,999"
Karbonn Titanium Mach Two ,5.0,,5.4,2.7,0.2,112.0,"Android OS, v4.4 (KitKat)",1,8,1,8,8.0,1.0,32,1900,,Cortex-A7,8.0,,1.4,,"4,999"
