device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Lava Z91 ,5.7,,5.9,2.8,0.3,147,"Android OS, v7.0 (Nougat)",1,13,1,8,32,3,128,3000,MT6739,,4,Mediatek,1.3,,9790
Lava KKT Jumbo 2 ,2.8,,,,,,,1,0.3,0,,,,32,4000,,,,,,,1800
Lava KKT 28 Star ,2.8,,,,,104,,1,1.3,0,,,,32,1800,,,,,,,1536
Lava Iris Fuel F1 ,5,,5.5,2.8,0.3,148,"Android OS, v5.1 (Lollipop)",1,8,1,2,8,2,32,4000,,Cortex-A7,4,Mediatek MT6580,1.3,Mali-400MP2,8700
Lava X41 Plus ,5,,5.7,2.8,0.3,156,"Android OS, v6.0 (Marshmallow)",1,8,1,5,32,2,32,2500,,,4,,1.3,,6399
Lava A97 ,5,,5.7,2.8,0.3,160,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2350,SC9832A,Cortex A7,4,Spreadtrum,1.3,Mali-400 MP2,4599
Lava A68 ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,8,1,32,1750,,,4,,1.2,,3149
Lava FLAIR E2 ,3.5,,4.4,2.4,0.4,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1400,,,,,1,,2222
Lava Arc 101 ,2.4,,,,,,,1,0.3,0,,,,32,1000,,,,,,,1090
Lava Spark i7 ,2.8,,,,,,,1,1.3,0,,,,32,1200,,,,,,,1350
Lava Arc One Plus ,2.4,,,,,,,1,0.3,0,,,,32,1000,,,,,,,1255
Lava X19 ,5,,5.7,2.8,0.3,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,2,32,2200,,,4,,1.3,,4199
Lava KKT 34 Power ,2.4,,,,,,,1,1.3,0,,,,32,2000,,,,,,,1499
Lava Prime X ,1.8,,,,,,,1,1.3,0,,,,32,800,,,,,,,1389
Lava Captain N1 Lite ,1.8,,,,,,,0,,0,,,,32,800,,,,,,,760
Lava A79 ,5.5,,6.1,3,0.3,134,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,2200,,,4,,1.2,,3990
Lava A97 IPS ,5,,5.7,2.8,0.3,160,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,Lava,,,4,,1.3,,4850
Lava A73 ,5,,5.7,2.8,0.3,,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2000,,,4,,1.2,,4110
Lava A51 ,4.5,,5.3,2.6,0.3,,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,8,0.5,32,1750,,,4,Spreadtrum SC7731C,1.2,,3500
Lava KKT 40 Power Plus ,2.4,,,,,,,1,1.3,0,,,,16,3000,,,,,,,1420
Lava Spark I8 ,2.8,,,,,,,1,1.3,0,,,,32,1200,,,,,,,1449
Lava KKT Pearl ,2.4,,,,,,,1,0.3,0,,,,32,1750,,,,,,,1200
Lava Captain 4i ,1.8,,4.4,1.8,0.5,57,,1,0.3,0,,,,32,800,,,,,,,828
Lava Iris X5 4G ,5,,,,,128,"Android OS, v5.1 (Lollipop)",1,13,1,8,16,2,32,2500,,Cortex A53,4,,1.3,Mali-T720 MP2,9999
Lava A44 ,4,Scratch-Resistant Glass,4.8,2.5,0.4,141,"Android OS, v7.0 (Nougat)",1,5,1,2,8,1,32,1500,SC9832,,4,Spreadtrum,1.3,,3659
Lava Captain N1 ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,796
Lava Z10 ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16,2,128,2620,,,4,MediaTek,1.3,,6599
Lava Z80 ,5,,5.8,2.8,0.3,136,"Android OS, v7.0 (Nougat)",1,8,1,5,16,3,128,2500,MT6737,Cortex-A53,4,Mediatek,1.3,Mali-T720MP2,7470
Lava Z91E ,5.45,,5.9,2.8,0.3,147,"Android OS, v8.1 (Oreo)",1,13,1,5,32,3,128,3000,,,4,,1.5,,9999
Lava X28+ ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2600,,,4,,1.3,,7199
Lava X28 Plus ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2600,,,4,,1.3,,5490
Lava A71 ,5,,5.7,2.8,0.3,141,Android v5.1 (Lollipop),1,5,1,2,8,1,32,2500,,,4,,1.5,,5400
Lava A76 ,4.5,,5.7,2.8,0.3,135,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,32,1850,,,4,,1.5,,5000
Lava Iris Fuel F2 ,5,,5.6,2.8,0.4,155,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,0.5,32,3000,,Cortex-A7,4,,1.3,,4522
Lava Iris Fuel 50 ,5,,5.7,2.8,0.3,160,"Android OS, v4.4 (KitKat)",1,8,1,2,8,1,32,3000,,,4,,1.3,,4500
