device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Lenovo K8 Plus ,5.2,Corning Gorilla Glass 3,5.8,2.9,0.3,165.0,"Android OS, v7.1.1 (Nougat)",2,13+5,1,8,32.0,3.0,128,4000,Helio P25,Cortex A53,8.0,MediaTek,2.6,Mali-T880 MP2,"8,496"
Lenovo A369i ,4.0,,4.8,2.5,0.4,120.0,"Android OS, v4.2 (Jelly Bean)",1,2,0,,4.0,0.5,32,1500,,Cortex-A7,2.0,Mediatek MT6572,1.3,Mali-400,369
Lenovo S660 ,4.7,,5.3,2.7,0.3,151.0,"Android OS, v4.2 (Jelly Bean)",1,8,2,0+3,8.0,1.0,32,3000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,660
Lenovo Vibe K5 ,5.0,,5.5,2.8,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2750,Snapdragon 415,Cortex-A53,8.0,Qualcomm MSM8929,1.5+1.2,Adreno 405,"8,999"
Lenovo Vibe P1m ,5.0,,5.5,2.8,0.3,148.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,4000,,Cortex-A53,4.0,Mediatek MT6735P,1.0,Mali-T720MP2,"5,990"
Lenovo Z2 Plus 32GB ,5.0,,5.5,2.7,0.3,149.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,8,32.0,3.0,0,3500,Snapdragon 820,,4.0,Qualcomm MSM8996,2.1+1.6,Adreno 530,"9,399"
Lenovo Vibe P1 Turbo ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,189.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,3.0,128,5000,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.1,Adreno 405,"8,567"
Lenovo Vibe X2 ,5.0,,5.5,2.7,0.2,120.0,"Android OS, v4.4 (KitKat)",1,13,1,5,32.0,2.0,0,2300,MT6595M,Cortex-A17,8.0,MediaTek,2.0+1.7,PowerVR G600,"6,780"
Lenovo S90 32GB ,5.0,,5.7,2.8,0.2,129.0,"Android OS, v4.4.4 (KitKat)",1,13,1,8,32.0,2.0,0,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"7,490"
Lenovo A7000 ,5.5,,6.0,3.0,0.3,140.0,"Android OS, v5.0.2 (Lollipop)",1,8,1,5,8.0,2.0,32,2900,,Cortex-A53,8.0,Mediatek MT6752m,1.5,Mali-T760MP2,7000
Lenovo Vibe K5 Plus (3GB RAM) ,5.0,,5.5,2.8,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,3.0,128,2750,Snapdragon 616,Cortex-A53,8.0,Qualcomm MSM8939v2,1.5+1.2,Adreno 405,"7,691"
Lenovo A850 ,5.5,,6.0,3.1,0.3,184.0,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,4.0,1.0,32,2250,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,850
Lenovo Vibe Shot ,5.0,,5.5,2.7,0.2,145.0,"Android OS, v5.0.2 (Lollipop)",1,16,1,8,32.0,3.0,128,3000,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7+1.0,Adreno 405,"19,950"
Lenovo Phab 2 Plus ,6.4,,6.8,3.4,0.3,218.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,3.0,256,4050,MT8783,Cortex-A53,8.0,Mediatek ,1.3,Mali-T720MP3,"11,990"
Lenovo A6600 16GB ,5.0,,5.5,2.8,0.3,142.0,"Android OS, v6.0 (Marshmallow)",1,8,1,2,16.0,1.0,32,2300,MediaTek MT6735P,Cortex A53,4.0,MediaTek ,1.0,Mali-T720MP2,6600
Lenovo K4 Note ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,158.0,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,16.0,3.0,256,3300,MT6753,Cortex-A53,8.0,Mediatek,1.3,Mali-T720MP3,"9,835"
Lenovo A319 ,4.0,,4.8,2.5,0.4,130.0,"Android OS, v4.4.2 (KitKat)",1,5,1,2,4.0,0.5,32,1500,,Cortex-A7,2.0,,1.3,Mali-400,319
Lenovo Vibe C ,5.0,,5.6,2.8,0.3,,"Android OS, v5.1 (Lollipop)",1,5,1,2,16.0,1.0,32,2300,,,4.0,,1.1,,"5,999"
Lenovo A536 ,5.0,,5.5,2.8,0.3,148.0," Android OS, v4.4.2 (KitKat)",1,5,1,2,8.0,1.0,32,2000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,536
Lenovo A7700 ,5.5,,5.6,2.7,0.3,145.0,"Android OS, v6.0 (Marshmallow)",1,8,1,2,16.0,2.0,32,2900,MT6735P,Cortex-A53,4.0,MediaTek ,1.0,Mali-T720MP2,7700
Lenovo A2010 ,4.5,,5.1,2.6,0.3,137.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,2000,,Cortex-A53,4.0,Mediatek MT6735M,1.0,Mali-T720MP2,2010
Lenovo Vibe P1 ,5.5,,6.0,2.9,0.3,189.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,2.0,128,4900,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.1,Adreno 405,"15,999"
Lenovo Vibe K5 Plus ,5.0,,5.5,2.8,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2750,Snapdragon 616,Cortex-A53,8.0,Qualcomm MSM8939v2,1.5+1.2,Adreno 405,"7,490"
Lenovo S850 ,5.0,,5.5,2.8,0.3,140.0,,1,13,1,5,16.0,1.0,0,2150,,Cortex-A7,4.0,,1.3,Mali-400MP2,850
Lenovo Phab 2 Pro ,6.4,,,,,,"Android OS, v6.0 (Marshmallow)",1,16,1,8,64.0,4.0,128,4050,Snapdragon 652,,8.0,Qualcomm,1.8,,"22,999"
Lenovo P2 ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,177.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,5100,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"16,999"
Lenovo Vibe K5 Note ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,3.0,128,3500,Helio P10,Cortex-A53,8.0,Mediatek MT6755,1.8,Mali-T860MP2,"9,490"
Lenovo A6000 Plus ,5.0,,5.5,2.7,0.3,128.0,"Android OS, v4.4.4 (KitKat)",1,8,1,2,16.0,2.0,32,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,6000
Lenovo A1000 ,4.0,,4.9,2.5,0.4,132.0,"Android OS, v5.0 (Lollipop)",1,5,2,0+3,8.0,1.0,32,2000,Spreadtrum SC7731,Cortex-A7,4.0,,1.3,Mali-400 MP2,1000
Lenovo K3 Note ,5.5,Asahi Dragontrail Glass,6.0,3.0,0.3,150.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,3000,MT6752,Cortex-A53,8.0,Mediatek ,1.7,Mali-T760MP2,"6,975"
Lenovo Z2 Plus ,5.0,,5.5,2.7,0.3,149.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,8,64.0,4.0,0,3500,Snapdragon 820,,4.0,Qualcomm MSM8996,2.1+1.6,Adreno 530,"12,999"
Lenovo S890 ,5.0,,5.6,2.9,0.3,176.0,"Android OS, v4.1 (Jelly Bean)",1,8,2,0+3,4.0,1.0,32,2250,,Cortex-A9,2.0,Mediatek MT6577,1.2,PowerVR SGX531u,890
Lenovo S90 Sisley ,5.0,,5.7,2.8,0.2,129.0,"Android OS, v4.4 (KitKat)",1,13,1,8,16.0,1.0,0,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"15,777"
