device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
LG Q6 ,5.5,,5.6,2.7,0.3,149.0,"Android OS, v7.1 (Nougat)",1,13,1,5,32.0,3.0,256,3000,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"11,980"
LG Stylus 2 Plus 16GB ,5.7,,6.1,3.1,0.2,146.0,"Android OS, v6.0 (Marshmallow)",1,16,1,8,16.0,3.0,256,3000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"15,990"
LG G4 ,5.5,Corning Gorilla Glass 3,5.8,2.9,0.2,155.0,"Android OS, v5.1.1 (Lollipop)",1,16,1,8,32.0,3.0,200,3000,Snapdragon 808,Cortex-A53,6.0,Qualcomm MSM8992,1.44+1.82,Adreno 418,"13,499"
LG K8 (2017) ,5.0,Corning Gorilla Glass 3,5.7,2.8,0.3,142.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,2.0,32,2500,Snapdragon 425,Cortex-A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"7,999"
LG K10 ,5.3,,5.7,2.9,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"8,990"
LG K10 4G ,5.3,,5.7,2.9,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"9,000"
LG X Cam ,5.2,,5.8,2.9,0.2,118.0,"Android OS, v6.0 (Marshmallow)",2,13+5,1,8,16.0,2.0,MicroSD,2520,,,8.0,,1.14,,"10,000"
LG Stylus 2 ,5.7,,6.1,3.1,0.2,145.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,16.0,2.0,256,3000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"12,000"
LG Google Nexus 5 ,4.95,Corning Gorilla Glass 3,5.4,2.7,0.3,130.0,"Android OS, v5.0 (Lolipop)",1,8,2,1+3,16.0,2.0,0,2300,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8974,2.3,Adreno 330,"29,999"
LG Q7 ,5.7,,,,,,"Android OS, v8.1 (Oreo)",1,13,1,8,32.0,3.0,256,3300,Snapdragon 450,Cortex A53,8.0,Qualcomm,1.8,Adreno 506,"15,900"
