device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
LYF C459 ,4.5,,5.1,2.5,0.3,139.0,"Android OS, v6.0.1 (Marshmallow)",1,5,1,2,8.0,1.0,128,2000,Snapdragon 210,,4.0,Qualcomm,1.3,,"3,499"
LYF Wind 1 ,5.0,,,,,125.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,1.0,64,2300,SnapDragon 410,,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,688"
LYF Wind 7i ,5.0,,,,,156.0,"Android OS, v6.0.1 (Marshmallow)",1,8,1,5,8.0,1.0,128,2250,Snapdragon 210,,4.0,Qualcomm MSM8909,1.3,Adreno 304,"4,999"
LYF Wind 4 ,5.0,,,,,146.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,128,4000,SnapDragon 210,,4.0,Qualcomm MSM8909,1.1,Adreno 304,"5,999"
LYF Water 4 ,5.0,,,,,138.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,0,2920,Snapdragon 410,,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,800"
LYF Water 2 ,5.0,,,,,135.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,2400,Snapdragon 615,,8.0,Qualcomm MSM8939,1.5,Adreno 405,"7,090"
LYF Water 9 ,5.5,,,,,,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2800,,,8.0,,1.3,,"5,999"
LYF Wind 6 ,5.0,,,,,156.0,"Android OS, v5.1 (Lollipop)",1,5,1,5,8.0,1.0,32,2250,SnapDragonTM 210 MSM8909,,4.0,Qualcomm,1.1,Adreno 304,"5,599"
LYF Water 6 ,5.0,,,,,136.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,2.0,0,2920,Snapdragon 410,,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,849"
LYF Water 5 ,5.0,,,,,136.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,0,2920,Snapdragon 410,,4.0,Qualcomm MSM8916,1.2,Adreno 306,"7,999"
LYF Flame 1 ,4.5,,,,,138.0,"Android OS, v5.1.1 (Lollipop)",1,5,1,5,8.0,1.0,32,2000,SnapDragonTM 210 MSM8909,,4.0,Qualcomm,1.1,Adreno 304,"4,999"
LYF Water 8 ,5.0,,,,,122.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,3.0,128,2600,Snapdragon 615,,8.0,Qualcomm MSM8939,1.5,Adreno 405,"6,499"
LYF Water 1 ,5.0,,,,,122.0,"Android OS, v5.1.1 (Lollipop)",1,13,1,5,16.0,2.0,32,2600,Snapdragon 615,Cortex-A53,8.0,Qualcomm,1.5,Adreno 405,"5,400"
Lyf Flame 7S ,4.0,,,,,127.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,1800,,,4.0,SC9830A,1.5,Mali-400 MP2,"3,999"
LYF Water 10 ,5.0,,5.7,2.8,0.3,142.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,3.0,64,2300,MT6753,Cortex-A53,8.0,MediaTek,1.3,MaliT720- MP2,"6,600"
LYF F8 ,4.5,,,,,138.0,"Android OS, v6.0.1 (Marshmallow)",1,8,1,5,8.0,1.0,128,2000,Snapdragon 210,,4.0,Qualcomm MSM8909,1.3,Adreno 304,"4,199"
LYF Water 3 ,5.5,,,,,,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,3000,,,8.0,Qualcomm MSM8939,1.5,Adreno A405,"6,599"
LYF Flame 4 ,4.0,,,,,117.0,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8.0,0.5,32,1400,,,4.0,,1.5,Mali 400 MP2,"4,199"
LYF F1S ,5.2,Corning Gorilla Glass 3,5.8,2.8,0.3,146.0,"Android OS, v6.0 (Marshmallow)",1,16,1,5,32.0,3.0,128,3000,Snapdragon 652,Cortex A72,8.0,Qualcomm MSM8976,1.8+1.4,Adreno 510,"8,399"
LYF F1 ,5.5,Corning Gorilla Glass 4,6.1,3.0,0.3,153.0,"Android OS, v6.0.1 (Marshmallow)",1,16,1,8,32.0,3.0,128,3200,Snapdragon 617,Cortex-A53,8.0,Qualcomm,1.5+1.2,Adreno 405,"8,499"
LYF Wind 7S ,5.0,,,,,156.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16.0,2.0,128,2250,Snapdragon 210,,4.0,Qualcomm,1.3,,"4,929"
LYF Wind 2 ,6.0,,,,,223.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,2.0,32,2850,,,4.0,,1.0,MaliT720-Mp1,"8,999"
LYF Flame 7 ,4.0,Asahi Dragontrail Glass,,,,113.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,1750,,,4.0,Spreadtrum ,1.5,Mali-400 MP2,"3,999"
LYF Water 7 ,5.5,,,,,160.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,128,3000,Snapdragon 615,,8.0,Qualcomm MSM8939,1.5,Adreno 405,"7,600"
LYF Earth 2 ,5.0,,5.5,2.6,0.2,140.0,"Android OS, v5.1 (Lollipop)",1,13,1,13,32.0,3.0,64,2500,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5,Adreno 405,"8,390"
LYF Wind 7 ,5.0,,,,,156.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,128,2250,Snapdragon 210,,4.0,Qualcomm MSM8909,1.3,Adreno 304,"4,700"
LYF Earth 1 ,5.5,,,,,162.0,"Android OS, v5.1 (Lollipop)",2,13+2,1,5,32.0,3.0,32,3500,Snapdragon 615,,8.0,Qualcomm MSM8939,1.5,Adreno 405,"9,088"
LYF Flame 8 ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,8.0,1.0,128,2000,Snapdragon 210 ,,4.0,Qualcomm,1.1,,"4,100"
LYF C451 ,4.5,,,,,,"Android OS, v6.0.1 (Marshmallow)",1,5,1,2,8.0,1.0,128,2800,Snapdragon 210,Cortex A7,4.0,Qualcomm MSM8909,1.3,Adreno 304,"3,820"
LYF Water 7S ,5.5,,5.9,2.9,0.3,141.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,64,2800mAh,MT6753,Cortex A53,8.0,MediaTek,1.3,Mali T720,"6,699"
LYF Water 11 ,5.0,,5.5,2.7,0.2,134.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,32,2100,MT6735,Cortex A53,4.0,MediaTek,1.3,MaliT720-Mp2,"6,000"
LYF Wind 3 ,5.5,Asahi Glass,2.1,3.0,0.4,159.2,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,2.0,32,2920,Snapdragon 410,Cortex A53,4.0,Qualcomm,1.2,Adreno 306,"5,499"
