device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Canvas 5 Lite Special Edition ,5.0,,,,,,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,3.0,32,2000,,,4.0,,1.0,,"4,775"
Micromax Bolt Q346 ,4.5,,5.2,2.8,0.3,162.0,"Android Os, v5.0 (Lollipop)",1,5,2,0+3,8.0,1.0,32,1700,,,4.0,,1.3,,"3,799"
Micromax X424 ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,790
Micromax Canvas Knight A350 ,5.0,,,,,,"Android OS, v4.4.2 (KitKat)",1,16,1,8,32.0,2.0,0,2350,,Cortex-A7,8.0,,1.7,Mali-450MP4,"14,285"
Micromax X740 ,1.8,,,,,,,1,0.3,2,0+3,,,8,1800,,,,,,,"1,244"
Micromax X072 ,1.8,,,,,,,1,0.8,0,,,,8,1750,,,,,,,725
Micromax Bharat 5 Plus ,5.2,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,5,16.0,2.0,64,5000,,,4.0,,1.3,,"5,834"
Micromax Evok Dual Note 4GB RAM ,5.5,,6.0,2.9,0.3,,"Android OS, v7.0 (Nougat)",2,13+5,1,5,32.0,4.0,64,3000,MT6750T,Cortex A53,8.0,MediaTek,1.5,Mali-T860 MP2,"9,999"
Micromax Vdeo 1 ,4.0,Corning Gorilla Glass,4.7,2.4,0.3,136.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,1600,SC9832A,Cortex A7,4.0,Spreadtrum,1.3,Mali-400 MP2,"2,985"
Micromax Bharat 2 ,4.0,,4.7,2.4,0.3,148.0,"Android OS, v6.0 (Marshmallow)",1,2,2,0+3,4.0,0.5,0,1300,SC9832A,Cortex A52,4.0,Spreadtrum,1.3,Mali-400 MP2,"2,890"
Micromax X605 ,2.4,,,,,70.0,,1,0.3,0,,0.0234375,0.03125,8,1000,,,,,,,899
Micromax Bolt Selfie ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,5,8.0,1.0,32,1750,,,4.0,,1.0,,"3,249"
