device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Motorola Moto E5 Plus ,6.0,,,,,,"Android OS, v8.0 (Oreo)",1,12,1,5,32.0,3.0,128,5000,Snapdragon 430,Cortex-A53,8.0,Qualcomm,1.4,Adreno 308,"11,999"
Motorola Moto E (2nd Gen) ,4.5,,5.1,2.6,0.4,145.0,"Android OS, v5.0, v5.1 (Lollipop)",1,5,0,,8.0,1.0,32,2390,,,,,,,"5,499"
Motorola Nexus 6 ,5.96,Corning Gorilla Glass 3,6.2,3.2,0.4,184.0,"Android OS, v5.0 (Lollipop)",1,13,1,2,32.0,3.0,0,3220,Snapdragon 805,Krait 450,4.0,Qualcomm,2.7,Adreno 420,"24,999"
Motorola Moto Z2 Force ,5.5,,6.1,2.9,0.2,143.0,"Android OS, v7.1 (Nougat)",1,12,1,5,64.0,6.0,256,2730,Snapdragon 835,Kryo,8.0,Qualcomm MSM8998,2.3+1.9,Adreno 540,"34,999"
Motorola Moto X4 ,5.2,Corning Gorilla Glass,5.8,2.8,0.3,163.0,"Android OS, 7.1 (Nougat)",2,12+8,1,16,32.0,3.0,256,3000,Snapdragon 630,Cortex-A53,8.0,Qualcomm,2.2,Adreno 508,"19,690"
Motorola Moto M ,5.5,,5.9,2.9,0.3,163.0,"Android OS, v6.0 (Marshmallow)",1,16,1,8,32.0,3.0,MicroSD,3000mAh,MT6750,Cortex-A53,8.0,Mediatek ,1.9,Mali-T860MP2,"9,999"
Motorola Moto X Play ,5.5,Corning Gorilla Glass 3,5.8,2.9,0.4,169.0,"Android OS, v5.1.1 (Lollipop)",1,21,1,5,16.0,2.0,128,3630,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7+1.0,Adreno 405,"18,499"
Motorola Moto E3 Power ,5.0,,5.6,2.8,0.3,153.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16.0,2.0,32,3500,MT6735P,Cortex-A53,4.0,MediaTek,1.0,Mali-T720MP2,"7,990"
Motorola One Power ,6.0,,,,,,"Android OS, v8.1 (Oreo)",2,16+5,1,16,64.0,4.0,256,3500,Snapdragon 660 ,Cortex A53,8.0,Qualcomm,1.4,,23999
Motorola Moto G5 ,5.0,Corning Gorilla Glass 3,5.6,2.8,0.3,145.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,3.0,128,2800,Snapdragon 430,Cortex-A53,8.0,Qualcomm,1.4,Adreno 505,"8,999"
