device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Nokia 6.1 4GB RAM ,5.5,,5.8,2.9,0.3,172.0,"Android OS, v8.1 (Oreo)",1,16,1,8,64.0,4.0,128,3000,Snapdragon 630,Cortex-A53,8.0,Qualcomm SDM630,2.2,Adreno 508,"16,999"
Nokia 230 ,2.8,,4.9,2.1,0.4,91.8,,1,2,1,2,,0.015625,32,1200,,,,,,,"4,150"
Nokia 130 Dual SIM ,1.8,,4.1,1.7,0.5,67.9,,0,,0,,0.00390625,,32,1020,,,,,,,"1,429"
Nokia C2 ,1.8,,4.2,1.7,0.5,74.1,,1,0.3,0,,0.0625,0.015625,32,1020,,,,,,,999
Nokia 105 Dual SIM (2017) ,1.4,,4.4,1.9,0.5,73.0,,0,,0,,0.00390625,,0,800,,,,,,,"1,099"
Nokia 8 Sirocco ,5.5,Corning Gorilla Glass 5,5.5,2.8,0.3,,"Android OS, 8.0 (Oreo)",2,12+13,1,5,128.0,6.0,0,3260,Snapdragon 835,Kryo,8.0,Qualcomm MSM8998,2.5+1.8,Adreno 540,"46,750"
Nokia 216 Dual SIM ,2.4,,4.6,1.9,0.5,82.0,,1,0.3,2,0+3,,0.015625,32,1020,,,,,,,"2,399"
Nokia 150 ,2.4,,4.6,1.9,0.5,81.0,,1,0.3,0,,,,32,1020,,,,,,,"1,879"
Nokia 105 ,1.4,,4.2,1.7,0.5,70.0,,0,,0,,0.0078125,,0,800,,,,,,,927
Nokia 5 3GB RAM ,5.2,Corning Gorilla Glass,5.8,2.8,0.3,160.0,"Android OS, v7.1.1 (Nougat)",1,13,1,8,16.0,3.0,128,3000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"11,399"
Nokia 5 ,5.2,Corning Gorilla Glass,,,,,"Android OS, v7.1 (Nougat)",1,13,1,8,16.0,2.0,128,3000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"11,100"
