device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Oppo A3s ,6.2,,,,,,"Android OS, v8.1 (Oreo)",2,13+2,1,8,16.0,2.0,256,4230,Snapdragon 450,Cortex A53,8.0,Qualcomm,,,"10,778"
Oppo N1 mini ,5.0,,5.8,2.8,0.3,150.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,13,16.0,2.0,0,2140mAh,Snapdragon 400,Cortex-A7,4.0,Qualcomm ,1.6,Adreno 305,"24,500"
Oppo N5111 ,5.0,,5.8,2.8,0.3,150.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,13,16.0,2.0,0,2140,Snapdragon 400,Cortex-A7,4.0,Qualcomm ,1.6,Adreno 305,"18,040"
Oppo Mirror 3 ,4.7,,5.4,2.7,0.3,130.0,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,128,2000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916 ,1.2,Adreno 306,"11,601"
Oppo Find 7 ,5.5,,6.0,2.9,0.3,171.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,5,32.0,3.0,128,3000mAh,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC ,2.5,Adreno 330,"26,091"
Oppo Neo 5 2015 ,4.5,,5.1,2.5,0.3,135.0,"Android OS, v4.4.2 (KitKat)",1,8,1,2,8.0,1.0,32,2000,,Cortex-A7,4.0,,1.3,Mali-400MP2,"8,900"
Oppo F3 Deepika Edition ,5.5,Corning Gorilla Glass 5,6.0,2.9,0.2,153.0,"Android OS, v6.0 (Marshmallow)",1,13,2,16+8,64.0,4.0,128,3200,MT6750T,Cortex-A53,8.0,Mediatek,1.5,Mali-T860MP2,"21,000"
Oppo R7 Plus ,6.0,,6.2,3.2,0.3,192.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,32.0,3.0,128,4100,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.0,Adreno 405,"32,690"
Oppo Neo 5 ,4.5,,5.2,2.5,0.3,132.0,"Android OS, v4.3 (Jelly Bean)",1,5,1,2,4.0,1.0,32,1900,Snapdragon 400,Cortex-A7,4.0,Qualcomm,1.2,Adreno 305,"6,999"
Oppo Joy Plus ,4.0,,4.8,2.4,0.3,125.0,"Android OS, v4.4 (KitKat)",1,3,2,0+3,4.0,1.0,32,1700,,Cortex-A7,2.0,Mediatek MT6572,1.3,Mali-400,"5,530"
Oppo Yoyo R2001 ,4.7,,,,,,"Android OS, v4.2 (Jelly Bean)",1,5,1,2,4.0,1.0,32,1900,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"8,000"
Oppo A51 ,5.0,,5.6,2.8,0.3,160.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,128,2420,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"14,190"
Oppo F1 Plus ,5.5,Corning Gorilla Glass 4,5.9,2.9,0.2,145.0,"Android OS, v5.1 (Lollipop)",1,13,1,16,64.0,4.0,128,2850,Helio P10,Cortex-A53,8.0,Mediatek,2.0,Mali-T860MP2,"20,100"
Oppo N1 ,5.9,Corning Gorilla Glass,6.7,3.2,0.3,213.0,"Android OS, v4.2 (Jelly Bean)",1,13,1,13,16.0,2.0,0,3610,Snapdragon 600,Krait 300,4.0,Qualcomm ,1.7,Adreno 320,"32,099"
Oppo R7 Lite ,5.0,,5.6,2.8,0.2,147.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,16.0,2.0,32,2320,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939 ,1.5+1.0,Adreno 405,"12,699"
Oppo Neo 5 16GB ,4.5,,5.1,2.5,0.3,135.0,"Android OS, v4.3 (Jelly Bean)",1,8,1,2,16.0,1.0,32,2000,MediaTek MT6582,Cortex-A7,4.0,MediaTek ,1.3,Mali-400MP2,"8,000"
Oppo F1s ,5.5,Corning Gorilla Glass 4,6.0,2.9,0.2,160.0,"Android OS, v5.1 (Lollipop)",1,13,1,16,32.0,3.0,128,3075,MT6755,Cortex-A53,8.0,Mediatek,1.5,Mali-T860 MP2,"13,999"
Oppo F1 ,5.0,Corning Gorilla Glass 4,5.6,2.8,0.2,134.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,16.0,3.0,256,2500,Snapdragon 616,Cortex-A53,8.0,Qualcomm MSM8939v2,1.7+1.0,Adreno 405,"10,894"
