device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Panasonic Eluga I7 ,5.45,,5.8,2.7,0.3,168.0,"Android OS, 7.0 (Nougat)",1,8,1,8,16.0,2.0,128,4000,MT6737H,Cortex-A53,4.0,Mediatek,1.25,Mali-T720MP2,"6,499"
Panasonic P90 ,5.0,Corning Gorilla Glass,5.6,2.8,0.3,151.0,"Android OS, v7.0 (Nougat)",1,5,1,5,16.0,1.0,128,2400,MT6737,Cortex-A53,4.0,Mediatek,1.3,Mali-T720,5599
Panasonic Eluga C ,5.5,,,,,,"Android OS, v7.0 (Nougat)",2,13+8,1,8,64.0,4.0,256,3000,,Cortex A53,8.0,MediaTek,1.5,,12900
Panasonic Eluga I3 Mega ,5.5,,6.0,3.0,0.3,180.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,128,4000,MT6735,Cortex-A53,8.0,Mediatek,1.3,Mali-T720MP2,"8,124"
Panasonic Eluga Switch ,5.5,,6.0,2.9,0.2,141.0,"Android OS, v5.0 (Lollipop)",1,13,1,8,32.0,2.0,0,2910,,,8.0,,1.5,,"14,990"
Panasonic P81 ,5.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,13,1,2,8.0,1.0,32,2500,,Cortex-A7,8.0,,1.7,Mali-450MP4,"13,991"
Panasonic Eluga I5 ,5.0,,5.6,2.7,0.3,145.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,2.0,128,2500,MT6737,Cortex A53,4.0,MediaTek,1.25,Mali-T720 MP1,"6,499"
Panasonic P100 2GB RAM ,5.0,Corning Gorilla Glass,5.7,2.8,0.3,175.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,128,2200,MT6737,Cortex-A53,4.0,Mediatek,1.2,,"5,799"
Panasonic Eluga A3 ,5.2,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,16.0,3.0,16,4000,MT6737,,4.0,MediaTek,1.2,,"8,100"
Panasonic P100 ,5.0,Corning Gorilla Glass,5.7,2.8,0.3,175.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,1.0,128,2200,MT6737,Cortex-A53,4.0,Mediatek,1.2,,"5,299"
Panasonic Eluga Ray 500 ,5.0,,,,,163.0,"Android OS, v7.0 (Nougat)",2,13+8,1,5,32.0,3.0,128,4000,MT6737,Cortex A53,4.0,MediaTek,1.2,Mali-T720 MP2,"7,799"
