device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Samsung Galaxy J8 ,6.0,,,,,,"Android OS, v8.0 (Oreo)",2,16+5,1,16,64.0,4.0,256,3500,Snapdragon 450,Cortex-A53,8.0,Qualcomm SDM450,1.8,Adreno 506,"18,990"
Samsung Galaxy J1 4G (2017) ,4.5,,5.0,2.6,0.3,131.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,2050,SC7727S,Cortex-A7,4.0,Spreadtrum,1.3,Mali-400 MP,"5,896"
Samsung Z2 ,4.0,,4.7,2.4,0.4,127.0,"Tizen OS, v2.4",1,5,2,0+3,8.0,1.0,128,1500,SC9830,Cortex-A7,4.0,Spreadtrum,1.5,Mali-400MP2,"3,499"
Samsung Galaxy S9 Plus 256GB ,6.2,Corning Gorilla Glass 5,6.2,2.9,0.3,189.0,"Android OS, v8.0 (Oreo)",1,12,1,8,256.0,6.0,256,3500,Exynos 9810,Cortex A53,8.0,Samsung,2.8+1.7,Mali-G71 MP20,"71,000"
Samsung Galaxy J5 Prime 32GB ,5.0,Corning Gorilla Glass,5.6,2.7,0.3,143.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,256,2400,Exynos 7570,Cortex-A53,4.0,Samsung,1.4,Mali-T720,"11,898"
Samsung Galaxy On8 ,5.5,,5.9,2.9,0.3,145.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,128,3300,Exynos 7580,Cortex-A53,8.0,Samsung,1.6,Mali-T720MP2,"9,990"
Samsung Galaxy On Nxt ,5.5,,5.9,2.9,0.3,167.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,3.0,256,3300,Exynos 7870,Cortex-A53,8.0,Samsung,1.6,Mali-T830MP2,"15,900"
Samsung Galaxy A7 (2017) ,5.7,Corning Gorilla Glass 4,6.1,3.0,0.3,186.0,"Android OS, v6.0 (Marshmallow)",1,16,1,16,32.0,3.0,256,3600,Exynos 7880,Cortex-A53,8.0,Samsung,1.9,Mali-T830MP3,"16,990"
Samsung Galaxy On5 ,5.0,,5.6,2.8,0.3,149.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,8.0,1.5,128,2600,Exynos 3475,Cortex-A7,4.0,Samsung,1.3,Mali-T720,"5,790"
Samsung Galaxy On7 Prime ,5.5,,5.9,2.9,0.3,167.0,"Android OS, v7.1.1 (Nougat)",1,13,1,13,32.0,3.0,256,3300,Exynos 7870,,8.0,Samsung,1.6,,"12,990"
Samsung Galaxy On Max ,5.7,,6.1,3.0,0.3,178.0,"Android OS, v7.0 (Nougat)",1,13,1,13,32.0,4.0,256,3300,Helio P25,Cortex A52,8.0,Mediatek,2.4,Mali-T880 MP2,"12,900"
Samsung Galaxy J7 Nxt 3GB RAM ,5.5,,6.0,3.0,0.3,170.0,"Android OS, v7.0 (Nougat)",1,13,1,5,32.0,3.0,256,3000,Exynos 7580 Octa,Cortex-A53,8.0,Samsung,1.6,Mali-T720MP2,"10,950"
