device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Sony Xperia R1 Plus ,5.2,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,256,2630,Snapdragon 430,Cortex A53,8.0,Qualcomm,1.5,,"12,089"
Sony Xperia XA Ultra Dual ,6.0,Scratch-resistant glass,6.4,3.1,0.3,202.0,"Android OS, v6.0 (Marshmallow)",1,21.5,1,16,16.0,3.0,256,2700,MT6755,Cortex-A53,8.0,Mediatek MT6755,2.0,Mali-T860MP2,"19,000"
Sony Xperia T2 Ultra Dual ,6.0,,6.5,3.3,0.3,171.8,"Android OS, v4.3 (Jelly Bean)",1,13,2,1+1,8.0,1.0,32,3000,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8228,1.4,Adreno 305,"12,999"
Sony Xperia XZ Premium ,5.5,Corning Gorilla Glass 5,6.1,3.0,0.3,195.0,"Android OS, v7.1 (Nougat)",1,19,1,13,64.0,4.0,256,3230,Snapdragon 835,Kryo,8.0,Qualcomm MSM8998,2.4+1.9,Adreno 540,"47,989"
Sony Xperia E4 Dual ,5.0,,5.3,2.9,0.4,144.0,"Android OS, v4.4.4 (KitKat)",1,5,1,2,8.0,1.0,32,2300,,Cortex-A7,4.0,Mediatek MT6582,1.3,Mali-400MP2,"7,659"
Sony Xperia Z1 ,5.0,Shatter Proof Glass,5.6,2.9,0.3,170.0,"Android OS, v4.2 (Jelly Bean)",1,20.7,1,2,16.0,2.0,64,3000,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8974,2.2,Adreno 330,"18,891"
Sony Xperia M ,4.0,,4.8,2.4,0.3,115.0,"Android OS, v4.1 (Jelly Bean)",1,5,0,,4.0,1.0,32,1750,Snapdragon S4 Plus MSM8227,Krait,2.0,Qualcomm,1.0,Adreno 305,"5,490"
Sony Xperia L ,4.3,,5.0,2.5,0.3,137.0,"Android OS, v4.1 (Jelly Bean)",1,8,2,0+3,8.0,1.0,32,1750,Snapdragon 400,,2.0,Qualcomm MSM8230,1.0,Adreno 305,"9,000"
Sony Xperia XZ3 ,5.7,,,,,,"Android OS, v8.1 (Oreo)",2,19+12,1,13,64.0,6.0,128,3240,Snapdragon 845,Cortex A53,8.0,Qualcomm,,Adreno 630,32999
Sony Xperia XZs 64GB ,5.2,,5.7,2.8,0.3,161.0,"Android OS, v7.0 (Nougat)",1,19,1,13,64.0,4.0,256,2900,Snapdragon 820,Kryo,4.0,Qualcomm MSM8996,2.1+1.6,Adreno 530,"28,900"
Sony Xperia XA1 Plus 3GB RAM ,5.5,,6.1,2.9,0.3,189.0,"Android OS, v7.0 (Nougat)",1,24,1,8,32.0,3.0,256,3430,Helio P20,Cortex-A53,8.0,Mediatek MT6757,2.3+1.6,Mali-T880MP2,"19,590"
Sony Xperia XA2 ,5.2,,5.5,2.7,0.3,171.0,"Android OS, v8.0 (Oreo)",1,23,1,8,32.0,3.0,256,3300,Snapdragon 630,,8.0,Qualcomm,,,21990
Sony Xperia Z5 Dual ,5.2,Scratch-Resistant Glass,5.7,2.8,0.2,154.0,"Android OS, v5.1.1 (Lollipop)",1,23,1,5,32.0,3.0,256,2900,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994,1.5+2.0,Adreno 430,"45,999"
Sony Xperia XZ1 Dual 32GB ,5.2,Corning Gorilla Glass 5,5.8,2.8,0.2,155.0,"Android OS, v8.0 (Oreo)",1,19,1,13,32.0,4.0,256,3430,Snapdragon 835,Kryo,8.0,Qualcomm MSM8998,2.3+1.9,Adreno 540,"42,990"
Sony Xperia M Dual ,4.0,,4.8,2.4,0.3,115.0,"Android OS, v4.1 (Jelly Bean)",1,5,2,0+3,4.0,1.0,32,1750,Snapdragon S4 Plus MSM8227,Krait,2.0,Qualcomm,1.0,Adreno 305,"6,290"
Sony Xperia C3 ,5.5,,6.1,3.1,0.3,149.7,"Android OS, v4.4.2 (KitKat)",1,8,1,5,8.0,1.0,32,2500,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8926,1.2,Adreno 305,"15,976"
Sony Xperia L2 ,5.5,,5.9,3.0,0.3,178.0,"Android OS, v7.1.1 (Nougat)",1,13,1,8,32.0,3.0,256,3300,MT6737T,Cortex-A53,4.0,Mediatek,1.5,Mali-T720MP2,"14,500"
