device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Vivo V9 ,,,6.0,2.9,0.3,150.0,"Android OS, v8.1 (Oreo)",2,16+5,1,24,64.0,4.0,256,3260,Snapdragon 626,Cortex-A53,8.0,Qualcomm,2.2,Adreno 506,"19,699"
Vivo X Shot X710 ,5.2,,5.7,2.8,0.3,148.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,8,16.0,2.0,256,2600,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AA ,2.3,Adreno 330,"16,500"
Vivo Y22 ,4.5,,5.1,2.6,0.3,126.0,"Android OS, v4.2 (Jelly Bean)",1,8,2,0+3,4.0,1.0,128,1900,,Cortex-A7,4.0,Mediatek MT6582,1.3,Mali-400MP2,"9,980"
Vivo Y28 8GB ,4.7,,5.4,2.7,0.3,156.0,"Android OS, v4.2.2 (Jelly Bean)",1,8,1,5,8.0,1.0,128,2100,MT6582,Cortex-A7,4.0,Mediatek ,1.3,Mali-400MP2,"15,420"
Vivo Y27L 16GB ,4.7,,5.3,2.6,0.2,137.0,"Android OS, v4.4 (KitKat)",1,8,1,5,16.0,1.0,128,2260,Snapdragon 410,Cortex A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"12,800"
Vivo Y27L ,4.7,,,,,137.0,"Android OS, v4.4 (Kitkat)",1,8,1,5,8.0,1.0,128,2260,Snapdragon 410,Cortex A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"10,697"
Vivo X3S ,5.0,,5.6,2.8,0.2,150.0,"Android OS, v4.2.2 (Jelly Bean)",1,13,1,5,16.0,1.0,0,2000,,Cortex-A7,8.0,,1.7,Mali-450MP4,"9,600"
Vivo V5 Plus IPL Edition ,5.5,Corning Gorilla Glass 5,,,,,"Android OS, v6.0 (Marshmallow)",1,16,1,20,64.0,4.0,0,3055,Snapdragon 625,,8.0,Qualcomm,2.0,,"17,850"
Vivo Y31 ,4.7,,5.4,2.7,0.3,137.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,128,2100,,Cortex-A7,4.0,,1.3,Mali-400MP2,"10,886"
Vivo V1 ,5.0,Corning Gorilla Glass 3,5.6,2.8,0.2,153.0,Android v5.0 (Lollipop),1,13,1,5,16.0,2.0,256,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"15,300"
Vivo Y11 ,4.0,,4.8,2.4,0.3,124.0,"Android oS, v4.4 (KitKat)",1,5,1,2,4.0,0.5,128,1700,Mediatek MT6582М,Cortex-A7,4.0,Mediatek,1.3,Mali-400MP2,"13,900"
Vivo Y31L ,4.7,,,,,133.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,1.0,128,2200,Snapdragon 410,Cortex A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"8,499"
Vivo X5 Max ,5.5,,6.0,3.0,0.2,156.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,128,2300,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7+1.0,Adreno 405,"20,499"
Vivo V1 Max ,5.5,,6.0,3.0,0.2,165.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,256,2720,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.4+1.0,Adreno 405,"12,999"
Vivo Y28 ,4.7,,5.4,2.7,0.3,156.0,"Android OS, v4.4 (Kitkat)",1,8,1,5,4.0,1.0,128,2100,,Cortex-A7,4.0,,1.3,Mali-400MP2,"8,640"
Vivo V3 Max ,5.5,,6.0,3.0,0.3,168.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,32.0,4.0,256,3000,Snapdragon 652,Cortex-A72,8.0,Qualcomm MSM8976,1.8+1.4,Adreno 510,"18,633"
Vivo X5 Pro ,5.2,,5.8,2.8,0.2,151.0,"Android OS, v5.0 (Lollipop)",1,13,1,8,16.0,2.0,256,2450,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.1,Adreno 405,"24,990"
Vivo Y55L ,5.2,,5.8,2.8,0.3,142.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16.0,2.0,128,2650,Snapdragon 430,Cortex-A53,8.0,Qualcomm,1.4,Adreno 505,"9,980"
Vivo Y15s ,4.5,,5.1,2.6,0.3,130.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,256,1900,,Cortex-A7,4.0,,1.3,Mali-400MP2,"6,899"
Vivo Y66 ,5.5,,6.1,2.9,0.2,155.0,"Android OS, v6.0 (Marshmallow)",1,13,1,16,32.0,3.0,256,3000,Snapdragon 430,Cortex A53,8.0,Qualcomm,1.4,Adreno 505,"12,000"
Vivo Y51L ,5.0,No,5.6,2.8,0.3,157.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,128,2350,Snapdragon 410,Cortex A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"9,082"
Vivo Y21L ,4.5,,5.1,2.6,0.3,145.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,16.0,1.0,128,2000,Snapdragon 410,Cortex A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,990"
Vivo V5 Plus ,5.5,Corning Gorilla Glass 5,6.0,2.9,0.2,156.0,"Android OS, v6.0 (Marshmallow)",1,16,2,20+8,64.0,4.0,256,3055,Snapdragon 625,Cortex A72,8.0,Qualcomm MSM8976,2.0,Adreno 506,"17,390"
Vivo Y15 ,4.5,,5.1,2.6,0.3,130.0,"Android OS, v4.2.2 (Jelly Bean)",1,5,1,2,4.0,0.5,128,1900,,Cortex-A7,4.0,,1.3,Mali-400MP2,"5,349"
Vivo V5s ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,154.0,"Android OS, v6.0 (Marshmallow)",1,13,1,20,64.0,4.0,256,3000,MT6750,Cortex-A53,8.0,MediaTek,1.5,Mali-T860MP2,"15,280"
Vivo Z10 ,6.0,Corning Gorilla Glass v3,6.1,2.9,0.3,160.0,"Android OS, v7.1.2 (Nougat)",1,16,1,24,32.0,4.0,256,3225,Snapdragon 450,Cortex A53,8.0,Qualcomm,1.8,Adreno 506,14990
Vivo V3 ,5.0,,5.6,2.8,0.3,138.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,32.0,3.0,128,2550,Snapdragon 616,Cortex-A53,8.0,Qualcomm MSM8939v2,1.5+1.0,Adreno 405,"12,000"
