device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Xiaomi Redmi Y2 ,5.99,,6.2,3.0,0.3,170.0,"Android OS, v8.1 (Oreo)",2,12+5,1,16,32.0,3.0,256,3080,Snapdragon 625,Cortex A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"9,999"
Xiaomi Redmi Note 3 ,5.5,,5.9,2.9,0.3,164.0,"Android OS, v5.1 (Lollipop)",1,16,1,5,16.0,2.0,32,4050,Snapdragon 650,Cortex-A53,6.0,Qualcomm MSM8956,1.4+1.8,Adreno 510,"11,880"
Xiaomi Mi 4i 32GB ,5.0,Corning Concore Glass,5.4,2.7,0.3,130.0,"Android OS, v5.0.2 (Lollipop)",1,13,1,5,32.0,2.0,0,3120,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7,1.7 GHz (Quad Core) + 1.0 GHz (Quad Core),"25,000"
Xiaomi Redmi Note 4G ,5.5,,6.0,3.1,0.3,185.0,"Android OS, v4.4 (Kitkat)",1,13,1,5,8.0,2.0,64,3100,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8928,1.6,Adreno 305,"8,999"
Xiaomi Mi 3 ,5.0,Corning Gorilla Glass 3,5.6,2.9,0.3,145.0,"Android OS, v4.3 (Jelly Bean)",1,13,1,2,16.0,2.0,0,3050,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8274AB,2.3,Adreno 330,"13,999"
Xiaomi Mi4 64GB ,5.0,,5.4,2.7,0.3,149.0,"Android OS, v4.4.3 (KitKat)",1,13,1,8,64.0,3.0,0,3080,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC,2.5,Adreno 330,"17,999"
Xiaomi Redmi 3s Prime ,5.0,,5.4,2.7,0.3,144.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,4100,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"8,999"
Xiaomi Mi Max 2 32GB ,6.4,,6.8,3.4,0.3,211.0,"Android OS, v7.1.1 (Nougat)",1,12,1,5,32.0,4.0,256,5300,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"13,999"
Xiaomi Redmi Note 3 32GB ,5.5,,5.9,2.9,0.3,164.0,"Android OS, v5.1.1 (Lollipop)",1,16,1,5,32.0,3.0,256,4000,Snapdragon 650,Cortex-A53,6.0,Qualcomm MSM8956,1.4+1.8,Adreno 510,"11,999"
Xiaomi Redmi Y1 4GB RAM ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,153.0,"Android OS, 7.1.1 (Nougat)",1,13,1,16,64.0,4.0,256,3080,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"11,989"
Xiaomi Mi 4 ,5.0,,5.4,2.7,0.3,149.0,"Android OS, v4.4.3 (KitKat)",1,13,1,8,16.0,3.0,0,3080,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC,2.5,Adreno 330,"14,999"
Xiaomi Redmi 2 Prime ,4.7,,5.2,2.6,0.3,133.0,"Android OS, v4.4.4 (KitKat)",1,8,1,2,16.0,2.0,32,2200,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,999"
Xiaomi Mi 4i ,5.0,Corning scratch-resistant glass,5.4,2.7,0.3,130.0,"Android OS, v5.0.2 (Lollipop)",1,13,1,5,16.0,2.0,0,3120,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.7+1.0,Adreno 405,"11,999"
Xiaomi Mi5 ,5.15,Corning Gorilla Glass 4,5.6,2.7,0.2,129.0,"Android OS, v6.0 (Marshmallow)",1,16,1,4,32.0,3.0,0,3000,Snapdragon 820,Kryo,4.0,Qualcomm MSM8996,1.8+1.36,Adreno 530,"20,999"
Xiaomi Redmi Note 4 2GB RAM ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,2.0,128,4100,Snapdragon 625,Cortex-A53,8.0,Qualcomm,2.0,Adreno 506,"7,999"
Xiaomi Redmi 4 64GB ,5.0,,5.4,2.7,0.3,150.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,64.0,4.0,256,4100,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"11,898"
Xiaomi Redmi 4 32GB ,5.0,,5.5,2.7,0.3,156.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,32.0,3.0,128,4100,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"8,899"
Xiaomi Mi Mix 2 ,5.99,Corning Gorilla Glass 4,5.9,2.9,0.3,185.0,"Android OS, v7.1 (Nougat)",1,12,1,5,128.0,6.0,0,3400,Snapdragon 835,Kryo,8.0,Qualcomm MSM8998,2.4+1.0,Adreno 540,"29,999"
Xiaomi Redmi Y1 ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,153.0,"Android OS, v7.1.1 (Nougat)",1,13,1,16,32.0,3.0,256,3080,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"8,998"
Xiaomi Redmi Note 4 ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,4100,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"8,999"
Xiaomi Redmi 3s ,5.0,,5.4,2.7,0.3,144.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,128,4100,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4+1.1,Adreno 505,"6,999"
Xiaomi Redmi Y1 Lite ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,150.0,"Android OS, v7.1.2 (Nougat)",1,13,1,8,16.0,2.0,256,3080,Snapdragon 425,Cortex-A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"6,999"
Xiaomi Redmi 4A ,5.0,,5.5,2.7,0.3,131.5,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,16.0,2.0,128,3120,Snapdragon 425,Cortex-A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"5,999"
